MN_travel run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: true
randomize false
model2 false
Iteration	Objective	Obj. change	I Error	 R error	CPU time (s)
187	7203984.23866634	0.09%	37.16%	113.10%	677.9s
188	7196345.0342641715	0.11%	37.15%	112.94%	654.2s
189	7188233.742647197	0.11%	37.09%	112.71%	645.3s
190	7182668.944802905	0.08%	37.02%	112.53%	647.3s
191	7174655.550688378	0.11%	37.06%	112.53%	644.0s
192	7169063.836922583	0.08%	37.00%	112.24%	764.7s
193	7162375.281958902	0.09%	37.05%	112.11%	972.4s
194	7158092.187571356	0.06%	36.99%	111.95%	1033.8s
195	7154288.228421939	0.05%	36.94%	111.88%	844.2s
196	7150833.446105487	0.05%	36.92%	111.80%	658.8s
197	7146850.668619429	0.06%	36.90%	111.64%	702.7s
198	7143778.68612466	0.04%	36.91%	111.56%	665.7s
199	7141216.5413080305	0.04%	36.90%	111.65%	660.2s
200	7138796.906483798	0.03%	36.92%	111.54%	651.5s
CPU time: 2149.90min
0.03%	36.92%	111.54%	663.5s
CPU time: 364.10min
