time	total error	% error	count	predicted	27001 reported	27001 predicted	27001% error	27003 reported	27003 predicted	27003% error	27005 reported	27005 predicted	27005% error	27007 reported	27007 predicted	27007% error	27009 reported	27009 predicted	27009% error	27011 reported	27011 predicted	27011% error	27013 reported	27013 predicted	27013% error	27015 reported	27015 predicted	27015% error	27017 reported	27017 predicted	27017% error	27019 reported	27019 predicted	27019% error
87	57.65204987205441	69.82	82.58	147.27	3.20	0.64	255.56	73.87	88.12	33.69	1.99	3.13	113.86	0.00	2.00	Infinity	5.96	15.26	311.78	0.00	0.19	Infinity	13.07	17.56	66.74	1.47	2.75	140.03	23.83	5.62	76.42	7.76	11.99	110.70
88	58.34626093394695	68.56	85.10	154.34	3.20	0.69	250.43	88.11	92.74	9.19	1.99	3.48	149.30	0.00	1.93	Infinity	6.06	16.32	337.97	0.07	0.19	346.41	3.43	17.56	800.02	0.00	2.77	Infinity	23.45	6.39	72.76	8.82	12.27	79.40
89	57.67406997227271	64.54	89.36	161.89	3.20	0.75	244.88	88.42	97.61	18.15	1.99	3.88	188.70	0.00	1.85	Infinity	6.15	17.46	367.12	0.16	0.19	40.39	9.07	17.56	182.29	0.00	2.78	Infinity	24.11	7.26	69.87	9.71	12.55	59.20
90	64.58623025582176	73.18	88.26	169.96	3.20	0.81	238.64	84.10	102.73	38.68	1.99	4.31	232.48	1.07	1.78	122.39	6.23	18.67	399.31	0.23	0.19	36.51	8.87	17.56	190.81	1.31	2.80	182.21	23.75	8.26	65.22	10.47	12.84	46.00
91	49.90659830695101	49.98	99.86	178.58	3.20	0.88	231.58	97.98	108.12	18.06	3.98	4.80	41.05	3.20	1.72	85.32	6.29	19.97	434.58	0.29	0.19	71.19	14.09	17.57	47.94	1.67	2.81	111.06	22.66	9.39	58.58	9.67	13.15	72.82
92	60.72331750273659	54.39	111.64	187.81	3.20	0.96	223.50	130.16	113.79	21.96	3.98	5.34	68.05	2.41	1.66	57.14	6.12	21.35	497.79	0.12	0.19	107.36	10.39	17.56	134.15	0.69	2.83	500.36	20.16	10.66	47.11	7.57	13.46	157.84
93	68.8120391900509	54.76	125.65	197.69	3.20	1.05	214.45	141.82	119.75	27.17	0.60	5.94	1776.34	3.23	1.60	92.63	6.29	22.84	525.04	0.30	0.19	74.28	16.16	17.56	16.94	1.70	2.85	109.57	24.76	12.11	51.07	8.02	13.79	145.98
94	76.79965840964938	57.59	133.36	208.27	3.20	1.15	204.44	153.07	126.03	30.84	0.51	6.61	2392.31	3.02	1.55	89.29	6.25	24.42	581.01	2.23	0.19	181.68	15.18	17.56	30.58	1.44	2.87	160.33	25.19	13.76	45.37	9.44	14.13	100.69
95	82.64675127112683	57.32	144.18	219.62	3.20	1.26	193.33	165.62	132.64	34.77	0.38	7.35	3659.94	2.72	1.51	81.98	6.18	26.11	643.89	2.17	0.19	181.22	17.68	17.56	1.32	1.07	2.89	272.27	27.48	15.63	43.12	10.62	14.48	73.80
96	83.24953473037817	55.30	150.53	231.80	3.20	1.39	181.09	170.34	139.60	31.51	2.27	8.17	518.07	3.12	1.47	97.60	6.27	27.93	689.87	2.26	0.19	181.90	19.83	17.57	22.16	1.57	2.91	137.68	28.75	17.75	38.26	10.02	14.85	97.52
97	73.81710610136071	43.73	168.81	243.62	5.10	1.51	359.20	133.14	146.91	12.50	1.11	8.79	692.65	2.81	1.45	87.88	5.11	29.54	478.27	2.17	0.19	178.91	19.40	17.72	13.41	2.28	2.91	82.01	28.93	19.15	33.79	6.52	15.45	136.94
98	70.16246365434802	38.43	182.58	255.25	0.85	1.63	464.93	143.56	154.60	9.29	1.17	9.25	692.72	3.34	1.45	102.85	6.67	31.02	365.24	2.29	0.19	179.45	23.04	17.99	34.03	3.52	2.89	53.31	28.35	19.99	29.48	8.34	16.23	94.58
99	67.80935614999674	32.58	208.10	266.87	0.88	1.74	501.33	158.96	162.67	2.83	1.17	9.60	718.92	3.39	1.47	103.08	11.69	32.42	177.39	2.29	0.20	179.09	29.43	18.34	58.47	3.62	2.88	61.39	30.85	20.38	33.94	9.41	17.17	82.47
100	61.24275122159206	26.78	228.69	278.61	0.96	1.84	471.59	174.44	171.16	2.27	4.19	9.85	135.26	3.53	1.49	104.90	16.75	33.76	101.58	2.33	0.20	178.80	29.98	18.76	58.11	3.95	2.87	81.80	29.75	20.42	31.36	9.63	18.25	89.56
101	69.98287289789903	25.77	271.57	290.59	0.96	1.93	513.02	203.95	180.09	14.13	9.19	10.04	9.22	3.53	1.53	103.36	24.75	35.08	41.73	2.33	0.21	178.23	33.40	19.23	65.88	3.96	2.86	83.32	28.96	20.19	30.27	13.63	19.44	42.60
102	53.6591828612969	20.67	259.64	302.92	0.00	2.00	Infinity	200.17	189.47	6.46	8.99	10.16	13.10	1.70	1.56	14.82	26.95	36.39	35.05	1.93	0.22	173.87	33.67	19.74	64.25	0.00	2.86	Infinity	22.52	19.77	12.24	11.82	20.75	75.59
103	81.40460893718372	40.28	202.09	315.70	0.00	2.05	Infinity	164.03	199.34	26.00	10.22	10.25	0.36	0.00	1.61	Infinity	28.43	37.71	32.65	1.19	0.22	158.84	21.43	20.29	8.27	0.00	2.85	Infinity	7.10	19.19	170.43	6.12	22.18	262.56
104	73.39781252897293	31.78	230.92	329.00	0.00	2.10	Infinity	167.41	209.72	30.52	12.17	10.31	15.30	0.00	1.65	Infinity	41.34	39.05	5.54	1.15	0.23	155.88	22.06	20.86	8.38	0.00	2.85	Infinity	6.23	18.51	197.28	17.77	23.72	33.44
105	77.68705708296213	29.16	266.43	342.92	0.00	2.14	Infinity	188.52	220.63	20.57	13.16	10.34	21.42	0.00	1.70	Infinity	52.31	40.41	22.75	1.13	0.24	153.79	22.68	21.47	8.30	0.00	2.86	Infinity	0.00	17.75	Infinity	29.67	25.37	14.49
106	60.75899023082188	19.26	315.41	357.51	0.00	2.17	Infinity	229.17	232.11	1.55	15.21	10.35	31.95	0.00	1.75	Infinity	57.42	41.80	27.20	0.00	0.25	Infinity	26.91	22.10	27.78	0.00	2.88	Infinity	0.00	16.95	Infinity	35.68	27.15	23.91
107	86.09741917834248	24.00	358.74	372.84	2.87	2.19	121.21	257.12	244.17	6.08	19.13	10.35	45.90	0.00	1.80	Infinity	68.25	43.23	36.66	0.00	0.26	Infinity	20.69	22.75	15.47	0.00	2.90	Infinity	0.00	16.13	Infinity	44.57	29.06	34.81
108	119.03863730336649	29.30	406.24	388.99	2.49	2.21	56.75	283.70	256.86	11.43	21.98	10.33	52.98	0.00	1.86	Infinity	78.95	44.70	43.38	0.00	0.27	Infinity	28.92	23.43	29.45	0.00	2.93	Infinity	0.00	15.30	Infinity	51.29	31.10	39.37
109	104.51829091825795	25.49	410.04	406.00	2.50	2.23	55.84	288.82	270.20	7.78	21.98	10.31	53.10	0.00	1.92	Infinity	80.94	46.22	42.90	0.00	0.29	Infinity	23.55	24.13	3.82	0.00	2.96	Infinity	0.00	14.47	Infinity	52.31	33.28	36.38
