time	total error	% error	count	predicted	reported*lambda	long time	total error	% error	count R	predicted R	 reported R*lambda	trips
04/18/2020	494.366938535307	45.25097297107936	1092.5001300000004	1553.3885253189335	1413.1396766786834	1587189600000	3026.528183695133	270.7091156517011	1118.0000999999997	4205.705894485585	1940.2542771377107	1821103.1782398857
04/19/2020	505.8800681065754	42.384608572761266	1193.546632	1639.6016033770165	1595.1827566302054	1587276000000	3184.571239456044	274.5319963014178	1160.0000299999997	4427.61854095972	1966.0921387081164	1881903.125367189
04/20/2020	564.8684937335779	44.65466274900959	1264.9709100000007	1741.3860003028033	1734.9731702974113	1587362400000	3331.0349999976493	277.123871130189	1202.0021899999997	4661.8473414421505	1992.65142758523	1887693.5965220935
04/21/2020	649.116603265326	49.58875035246959	1308.9997200000003	1861.1903159970059	1639.5142437049926	1587448800000	3715.5468912190213	296.29435307960995	1254.0052999999996	4910.6167700568385	1888.1657364835974	1847160.2984373057
04/22/2020	688.987855133766	49.17812519102476	1401.0047200000001	2001.6362578817123	1772.8485212452672	1587535200000	3906.1888642540616	296.59679036240846	1317.0030799999997	5176.501100913555	1948.9897789292438	1398398.7839266858
04/23/2020	591.8628764826345	42.18551522539124	1403.000232	2165.6528542829624	1780.0690927881892	1587621600000	3998.1899772188644	260.299257084635	1535.9974600000003	5462.449137753799	2242.732278580361	1531579.620491138
04/24/2020	636.2496228588728	40.14189711685246	1585.001379	2353.5252813429192	2085.5329622413406	1587708000000	4205.370684974498	263.82527476765165	1593.9984099999997	5771.828116937079	2268.6448514462345	1493941.5579838199
04/25/2020	750.2257206286799	41.97982328323962	1787.1102400000013	2571.8587222439155	2403.0509018292823	1587794400000	4468.5672131809215	270.16751011436236	1653.9987399999984	6108.046014271781	2346.303942191865	1821103.1782398857
04/26/2020	757.727134652108	41.632221503553666	1820.0497289999996	2825.8008690847546	2468.886803369989	1587880800000	4724.504135891469	266.3187426805515	1774.00362	6475.454403163769	2510.217054318387	1881903.125367189
04/27/2020	904.9245161587434	45.94426763327103	1969.6135399999991	3125.389889241833	2743.52947413355	1587967200000	5002.426282883586	271.5756845970741	1842.0008000000016	6879.140241604448	2558.926735149638	1887693.5965220935
04/28/2020	1326.6583022911052	58.606428486214575	2263.673690000001	3341.410226978936	2525.0929028022965	1588053600000	5397.615760512123	282.3027380342172	1911.9955400000026	7325.624511496138	2259.224665841813	1847160.2984373057
04/29/2020	1115.5073174658694	42.995370385471446	2594.4824000000012	3496.6034734024124	2910.418893565988	1588140000000	5711.71673391221	279.5735241859347	2043.0106	7802.968829635987	2414.606308312523	1398398.7839266858
04/30/2020	870.597133044388	29.457019802798445	2955.4827299999997	3608.3328733626677	3371.2706354923894	1588226400000	6079.260797522379	279.892701390245	2171.9969	8302.483611550617	2557.0648074510887	1531579.620491138
05/01/2020	584.8880878879187	17.0201399261481	3436.447	3685.085752395386	3963.9338164207625	1588312800000	6466.964804733366	283.51501810211226	2280.9954999999995	8817.959736316714	2691.7361489241302	1493941.5579838199
05/02/2020	839.509960697539	21.87896770853941	3837.0638499999995	3741.066126327904	4469.242230022862	1588399200000	6861.954089363999	286.3917104781301	2396.003040000001	9344.40055808748	2809.62727823607	1821103.1782398857
05/03/2020	745.7692468815197	20.47378053620615	3642.55759	3784.849422337945	4276.3185912148865	1588485600000	6849.07155577317	227.24444866169452	3013.9664999999995	9878.838576134325	3517.919931587211	1881903.125367189
05/04/2020	1402.230631620247	45.19102042070459	3102.8965900000017	3828.010091194523	3775.5179895381866	1588572000000	6350.25082386497	150.8024946227374	4210.971999999994	10419.531350754027	4891.325866793315	1887693.5965220935
05/05/2020	992.2628981874999	29.81048559294858	3328.57006	3875.6869728697916	3803.3092067632424	1588658400000	6189.277587813403	134.17028338929765	4613.001800000001	10966.389935210393	6871.010620242801	1847160.2984373057
05/06/2020	1024.4354559518897	27.834944987670223	3680.39332	3931.2921589139714	4241.224969208409	1588744800000	6435.827391047731	128.5879983989551	5004.998500000003	11520.059502763219	7380.244822782199	1398398.7839266858
05/07/2020	1345.8938954770451	32.45742427080692	4146.644182999999	3997.061019269603	4775.178603924962	1588831200000	6699.54486706062	126.21583528288419	5308.006599999999	12081.67266832236	7768.974301823459	1531579.620491138
05/08/2020	1558.9837330684468	34.72699729014876	4489.25578	4069.038787673307	5211.310159219055	1588917600000	6959.394569093364	122.15928311211566	5696.983799999999	12652.681385360875	8298.551303883996	1493941.5579838199
05/09/2020	1695.7636810711845	36.628183313014816	4629.6690899999985	4153.252315364282	5378.994497020252	1589004000000	7322.140697493525	115.82102697922463	6321.944199999999	13233.972640742775	9149.65814406727	1821103.1782398857
05/10/2020	1577.1155387252884	34.62602491343936	4554.711500000002	4251.691707474358	5326.869980571729	1589090400000	7462.04268496747	108.42935764542581	6881.939399999999	13827.294400080527	9856.825032386603	1881903.125367189
05/11/2020	1409.869284828241	31.98820524051038	4407.466046400002	4371.968259759354	5208.196650888413	1589176800000	7434.575844497363	98.65408831796724	7536.003799999996	14434.678929719725	10618.095959075494	1887693.5965220935
05/12/2020	1420.459949969654	32.00025285282202	4438.902269	4515.8278682262035	5351.705025202444	1589263200000	6962.70572536693	84.67342907206636	8223.0114	15059.24582397106	12386.599206457926	1847160.2984373057
05/13/2020	1349.815120009629	31.37833071646294	4301.742919999998	4684.272891297715	5124.043429159467	1589349600000	7274.531343358512	82.78689713836947	8787.056400000001	15704.364090860516	13139.111960414144	1398398.7839266858
05/14/2020	1061.4496455996111	24.03982639019326	4415.3798300000035	4877.882915266415	5326.4018050541345	1589436000000	7327.881866923979	80.20860820939563	9136.029199999995	16373.545932474477	13499.765400357426	1531579.620491138
05/15/2020	1173.3861087638634	24.285200994204594	4831.69198	5089.763087325996	5912.71920187246	1589522400000	7446.641269273809	78.36057517090349	9503.045699999997	17070.386348941105	13900.23481496107	1493941.5579838199
05/16/2020	1157.9807285761847	24.159193818206855	4793.126531	5326.941364035202	5861.100192197257	1589608800000	7615.860632442516	74.14933507774248	10270.9763	17797.495361416255	14934.159521005853	1821103.1782398857
