MN_model2 run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: true
randomize false
model2 true
Iteration	Objective	Obj. change	I Error	 R error	CPU time (s)
154	5140663.453670442	0.04%	23.69%	69.59%	96.7s
155	5138532.140244585	0.04%	23.70%	69.57%	97.9s
156	5136522.641541008	0.04%	23.69%	69.65%	98.1s
157	5134275.786162272	0.04%	23.69%	69.68%	97.4s
158	5131685.050672794	0.05%	23.67%	69.72%	96.5s
159	5128896.510753939	0.05%	23.66%	69.78%	97.1s
160	5126481.7446136875	0.05%	23.65%	69.81%	96.3s
161	5124535.125801875	0.04%	23.64%	69.85%	95.7s
162	5122632.54370954	0.04%	23.64%	69.88%	96.4s
163	5120332.236115427	0.04%	23.63%	69.88%	97.4s
164	5117992.300370628	0.05%	23.62%	69.90%	96.9s
165	5115774.321780835	0.04%	23.63%	69.87%	98.7s
166	5113227.627491768	0.05%	23.62%	69.80%	95.9s
167	5111104.556723754	0.04%	23.61%	69.87%	95.5s
168	5108269.060778772	0.06%	23.61%	69.81%	97.0s
169	5105927.582041234	0.05%	23.58%	69.82%	94.1s
170	5102359.97079288	0.07%	23.56%	69.77%	96.2s
171	5099935.807540391	0.05%	23.53%	69.74%	97.4s
172	5097979.964939661	0.04%	23.52%	69.71%	98.8s
173	5095939.535258709	0.04%	23.51%	69.77%	95.7s
174	5094061.830635115	0.04%	23.51%	69.72%	101.2s
175	5092322.325159897	0.03%	23.50%	69.69%	100.0s
176	5090549.646591672	0.03%	23.50%	69.70%	101.7s
177	5088782.7475009775	0.03%	23.50%	69.69%	97.5s
178	5087239.827847595	0.03%	23.49%	69.69%	98.9s
179	5085708.597092859	0.03%	23.49%	69.72%	99.1s
180	5084045.691149552	0.03%	23.47%	69.74%	99.1s
181	5082436.239063577	0.03%	23.47%	69.74%	98.0s
182	5080533.779537311	0.04%	23.47%	69.75%	99.4s
183	5078887.836860856	0.03%	23.47%	69.72%	99.8s
184	5077054.143647668	0.04%	23.45%	69.71%	98.6s
185	5075588.0268839225	0.03%	23.45%	69.68%	97.6s
186	5072807.704929429	0.05%	23.44%	69.68%	102.8s
187	5071288.81272877	0.03%	23.43%	69.65%	98.6s
188	5069583.897891285	0.03%	23.44%	69.63%	99.7s
189	5067696.862229049	0.04%	23.41%	69.62%	97.7s
190	5065976.096730588	0.03%	23.41%	69.60%	98.9s
191	5064287.532163047	0.03%	23.44%	69.62%	98.9s
192	5061909.04282639	0.05%	23.44%	69.64%	98.5s
193	5060168.69657846	0.03%	23.44%	69.66%	100.7s
194	5058463.64346067	0.03%	23.45%	69.60%	99.7s
195	5057023.959169134	0.03%	23.45%	69.59%	101.4s
196	5054381.388083034	0.05%	23.43%	69.56%	108.7s
197	5052801.6815229505	0.03%	23.42%	69.56%	94.5s
198	5051333.31031913	0.03%	23.41%	69.54%	111.6s
199	5049957.580048016	0.03%	23.42%	69.56%	100.3s
200	5048514.050782036	0.03%	23.41%	69.52%	238.4s
CPU time: 89.30min
