time	trips
10/10/2020	3091786.9770123325
10/11/2020	3088773.5394129422
10/12/2020	3079733.22661461
10/13/2020	3121921.35300668
10/14/2020	2974262.910634712
10/15/2020	3088773.5394129422
10/16/2020	3155069.1666003554
10/17/2020	3091786.9770123325
10/18/2020	3088773.5394129422
10/19/2020	3079733.22661461
10/20/2020	3121921.35300668
10/21/2020	2974262.910634712
10/22/2020	3088773.5394129422
10/23/2020	3155069.1666003554
10/24/2020	3091786.9770123325
10/25/2020	3088773.5394129422
10/26/2020	3079733.22661461
10/27/2020	3121921.35300668
10/28/2020	2974262.910634712
10/29/2020	3088773.5394129422
10/30/2020	3155069.1666003554
10/31/2020	3091786.9770123325
11/01/2020	3091786.9770123325
11/02/2020	3088773.5394129422
11/03/2020	3079733.22661461
11/04/2020	3121921.35300668
11/05/2020	2974262.910634712
11/06/2020	3088773.5394129422
11/07/2020	3155069.1666003554
11/08/2020	3091786.9770123325
11/09/2020	3088773.5394129422
11/10/2020	3079733.22661461
11/11/2020	3121921.35300668
11/12/2020	2974262.910634712
11/13/2020	3088773.5394129422
11/14/2020	3155069.1666003554
11/15/2020	3091786.9770123325
11/16/2020	3088773.5394129422
11/17/2020	3079733.22661461
11/18/2020	3121921.35300668
11/19/2020	2974262.910634712
11/20/2020	3088773.5394129422
11/21/2020	3155069.1666003554
11/22/2020	3091786.9770123325
11/23/2020	3088773.5394129422
11/24/2020	3079733.22661461
11/25/2020	3121921.35300668
11/26/2020	2974262.910634712
11/27/2020	3088773.5394129422
11/28/2020	3155069.1666003554
11/29/2020	3091786.9770123325
11/30/2020	3088773.5394129422
12/01/2020	3079733.22661461
12/02/2020	3121921.35300668
12/03/2020	2974262.910634712
12/04/2020	3088773.5394129422
12/05/2020	3155069.1666003554
12/06/2020	3091786.9770123325
12/07/2020	3088773.5394129422
12/08/2020	3079733.22661461
12/09/2020	3121921.35300668
12/10/2020	2974262.910634712
12/11/2020	3088773.5394129422
12/12/2020	3155069.1666003554
12/13/2020	3091786.9770123325
12/14/2020	3088773.5394129422
12/15/2020	3079733.22661461
12/16/2020	3121921.35300668
12/17/2020	2974262.910634712
12/18/2020	3088773.5394129422
12/19/2020	3155069.1666003554
12/20/2020	3091786.9770123325
12/21/2020	3088773.5394129422
12/22/2020	3079733.22661461
12/23/2020	3121921.35300668
12/24/2020	2974262.910634712
12/25/2020	3088773.5394129422
12/26/2020	3155069.1666003554
12/27/2020	3091786.9770123325
12/28/2020	3088773.5394129422
12/29/2020	3079733.22661461
12/30/2020	3121921.35300668
12/31/2020	2974262.910634712
