time	total error	% error	count	predicted	27001 reported	27001 predicted	27001% error	27003 reported	27003 predicted	27003% error	27005 reported	27005 predicted	27005% error	27007 reported	27007 predicted	27007% error	27009 reported	27009 predicted	27009% error	27011 reported	27011 predicted	27011% error	27013 reported	27013 predicted	27013% error	27015 reported	27015 predicted	27015% error	27017 reported	27017 predicted	27017% error	27019 reported	27019 predicted	27019% error
87	16.44461541525795	19.91	82.58	138.09	1.00	0.35	65.42	68.65	69.62	2.29	1.60	3.53	192.34	0.00	0.17	Infinity	5.48	4.82	22.15	0.00	0.57	Infinity	20.97	23.81	42.18	0.91	2.14	133.83	23.83	17.49	26.61	14.51	15.61	28.75
88	35.152425179659076	41.31	85.10	144.22	1.00	0.39	61.11	81.89	75.95	11.77	1.60	3.84	223.49	0.00	0.18	Infinity	5.58	4.84	24.45	0.07	0.53	1311.16	5.51	22.47	960.65	0.00	2.06	Infinity	23.45	17.80	24.12	16.48	16.17	7.18
89	21.161085343094918	23.68	89.36	151.03	1.00	0.44	56.38	82.18	82.83	1.29	1.60	4.18	257.39	0.00	0.19	Infinity	5.66	4.85	26.27	0.16	0.49	413.58	14.54	21.20	142.89	0.00	1.98	Infinity	24.11	18.11	24.87	18.16	16.76	29.37
90	35.439399075095075	40.15	88.26	158.58	1.00	0.49	51.15	76.24	90.32	29.24	1.95	4.55	259.94	0.58	0.21	64.69	4.89	4.87	0.71	0.12	0.45	290.62	10.01	20.00	219.08	1.53	1.90	46.31	23.75	18.43	22.37	19.19	17.36	35.44
91	20.223877013377233	20.25	99.86	166.94	1.00	0.55	45.35	88.82	98.49	17.22	3.90	4.95	52.64	1.74	0.22	87.40	4.94	4.88	1.80	0.15	0.42	185.32	15.91	18.86	40.64	1.94	1.83	10.20	22.66	18.76	17.20	17.73	17.99	5.37
92	26.815195559100584	24.02	111.64	176.17	1.00	0.61	38.92	118.00	107.39	14.23	3.90	5.39	74.48	1.31	0.23	82.10	4.80	4.90	3.06	0.06	0.39	537.78	11.74	17.78	112.98	0.80	1.76	224.03	20.16	19.09	5.32	13.88	18.64	127.53
93	30.54579724094331	24.31	125.65	186.33	1.00	0.68	31.83	128.57	117.08	14.15	0.59	5.86	1754.06	1.75	0.25	85.77	4.94	4.91	1.00	0.15	0.36	140.00	18.24	16.75	17.95	1.97	1.69	26.53	24.76	19.43	21.53	14.70	19.31	116.65
94	28.95966187438431	21.72	133.36	197.49	1.00	0.76	24.01	138.77	127.63	12.71	0.50	6.38	2306.95	1.64	0.27	83.75	4.91	4.93	0.61	1.13	0.33	70.39	17.14	15.78	17.33	1.67	1.63	4.91	25.19	19.77	21.50	17.31	20.01	57.97
95	33.85226650226098	23.48	144.18	209.72	1.00	0.85	15.41	150.14	139.11	11.63	0.37	6.94	3451.44	1.48	0.28	80.76	4.86	4.94	2.74	1.10	0.31	71.82	19.97	14.87	56.07	1.25	1.57	47.61	27.48	20.12	26.76	19.47	20.73	24.17
96	30.548080649887176	20.29	150.53	223.12	1.00	0.94	5.94	154.42	151.61	2.88	2.22	7.55	468.41	1.69	0.30	82.12	4.93	4.96	1.00	1.14	0.29	74.95	22.39	14.01	82.20	1.82	1.51	32.58	28.75	20.48	28.77	18.38	21.48	62.72
97	37.70896994043946	22.34	168.81	235.56	2.43	1.03	140.12	150.28	162.67	11.24	1.37	8.07	604.74	1.54	0.33	78.86	5.11	5.23	2.37	1.11	0.28	74.91	12.50	13.58	8.70	0.82	1.44	81.36	28.93	20.51	29.11	17.51	22.43	75.45
98	32.486257436329524	17.79	182.58	247.39	0.41	1.11	420.06	162.04	172.74	9.00	1.44	8.52	606.65	1.84	0.35	80.79	6.67	5.70	14.50	1.17	0.28	75.78	14.84	13.48	9.18	1.27	1.37	8.92	28.35	20.28	28.45	22.40	23.55	13.68
99	35.46916966172597	17.04	208.10	258.89	0.42	1.19	446.83	179.42	182.16	2.08	1.45	8.92	637.69	1.86	0.38	79.42	11.69	6.34	45.74	1.17	0.30	74.74	18.96	13.62	28.14	1.30	1.30	0.23	30.85	19.86	35.61	25.27	24.81	4.96
100	38.98955807967806	17.05	228.69	270.29	0.46	1.26	431.19	196.90	191.20	3.95	5.17	9.28	98.35	1.94	0.42	78.50	16.75	7.14	57.40	1.19	0.32	73.36	19.31	13.95	27.76	1.42	1.23	14.51	29.75	19.30	35.14	25.86	26.20	3.60
101	78.41213367065686	28.87	271.57	281.78	0.46	1.34	469.83	230.22	200.01	17.88	11.34	9.62	18.62	1.94	0.45	76.64	24.75	8.08	67.35	1.19	0.34	71.19	21.52	14.42	32.98	1.43	1.16	20.15	28.96	18.62	35.71	36.63	27.72	65.31
