MN run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: false
randomize false
model2 false
Iteration	Objective	Obj. change	I Error	 R error	CPU time (s)
168	5088734.569730416	0.02%	20.51%	52.95%	4.0s
169	5087574.876336443	0.02%	20.51%	52.94%	4.0s
170	5086544.80123835	0.02%	20.50%	52.94%	3.9s
171	5084773.578121211	0.03%	20.50%	52.88%	4.0s
172	5082615.843237035	0.04%	20.50%	52.85%	3.9s
173	5081122.789245438	0.03%	20.47%	52.94%	3.9s
174	5079268.210243802	0.04%	20.47%	52.84%	3.9s
175	5077707.498881269	0.03%	20.45%	52.86%	4.0s
176	5073800.497505724	0.08%	20.44%	52.78%	3.9s
177	5072623.061483578	0.02%	20.43%	52.77%	4.0s
178	5071424.166621135	0.02%	20.42%	52.73%	4.0s
179	5069830.408813063	0.03%	20.42%	52.74%	4.0s
180	5068785.342280317	0.02%	20.42%	52.75%	3.9s
181	5067182.516566915	0.03%	20.41%	52.77%	4.0s
182	5065931.009327251	0.02%	20.40%	52.77%	4.0s
183	5065258.075616993	0.01%	20.40%	52.80%	4.0s
184	5063902.331590264	0.03%	20.39%	52.78%	3.9s
185	5061211.018997793	0.05%	20.39%	52.80%	3.9s
186	5058635.112281119	0.05%	20.38%	52.80%	3.9s
187	5057403.39198279	0.02%	20.37%	52.71%	4.0s
188	5056656.9395989	0.01%	20.37%	52.70%	4.0s
189	5055793.679156097	0.02%	20.36%	52.70%	4.0s
190	5054731.271603888	0.02%	20.36%	52.64%	4.0s
191	5054086.411122819	0.01%	20.36%	52.63%	3.9s
192	5053105.6891197525	0.02%	20.35%	52.61%	3.9s
193	5052505.094737851	0.01%	20.34%	52.63%	4.0s
194	5050680.976437115	0.04%	20.35%	52.54%	3.9s
195	5049512.195467092	0.02%	20.33%	52.63%	3.9s
196	5047927.525717868	0.03%	20.33%	52.59%	4.0s
197	5047158.406708351	0.02%	20.32%	52.64%	4.0s
198	5045644.016780917	0.03%	20.32%	52.58%	3.9s
199	5044071.61782553	0.03%	20.30%	52.76%	4.0s
200	5042684.244382164	0.03%	20.30%	52.69%	4.0s
201	5041992.569492295	0.01%	20.29%	52.72%	4.0s
202	5041108.590595401	0.02%	20.29%	52.70%	3.9s
203	5039084.7883798815	0.04%	20.28%	52.75%	4.0s
204	5037300.669483898	0.04%	20.28%	53.02%	4.0s
205	5036377.818764152	0.02%	20.27%	53.01%	4.0s
206	5035072.510448891	0.03%	20.27%	52.98%	4.0s
207	5034104.452580898	0.02%	20.26%	53.02%	3.9s
208	5033270.750581043	0.02%	20.26%	53.00%	3.9s
209	5032809.307781528	0.01%	20.27%	52.94%	3.9s
CPU time: 12.54min
