MN_12 run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: false
randomize false
model2 false
Iteration	Objective	Obj. change	I Error	 R error	CPU time (s)
167	6246153.971258797	0.02%	22.31%	65.32%	4.3s
168	6245229.345032163	0.01%	22.30%	65.31%	4.3s
169	6244483.060666708	0.01%	22.29%	65.28%	4.3s
170	6243417.672469915	0.02%	22.29%	65.29%	4.3s
171	6242430.47184877	0.02%	22.29%	65.30%	4.3s
172	6241479.889857574	0.02%	22.28%	65.27%	4.4s
173	6240655.894507989	0.01%	22.28%	65.27%	4.4s
174	6239719.3874716	0.02%	22.28%	65.27%	4.3s
175	6236552.6042896435	0.05%	22.28%	65.34%	4.4s
176	6234787.233838014	0.03%	22.26%	65.27%	4.4s
177	6233215.282272656	0.03%	22.25%	65.24%	4.4s
178	6232060.460969926	0.02%	22.25%	65.28%	4.4s
179	6230617.974075194	0.02%	22.23%	65.28%	4.4s
180	6229684.795698431	0.01%	22.23%	65.22%	4.4s
181	6228740.851684275	0.02%	22.23%	65.25%	4.3s
182	6227722.39962014	0.02%	22.22%	65.20%	4.4s
183	6226863.090808623	0.01%	22.22%	65.19%	4.3s
184	6225904.549703561	0.02%	22.21%	65.18%	4.4s
185	6224641.618723599	0.02%	22.21%	65.23%	4.3s
186	6223335.2723231595	0.02%	22.20%	65.18%	4.4s
187	6222021.379399348	0.02%	22.19%	65.19%	4.4s
188	6221071.376527552	0.02%	22.18%	65.18%	4.4s
189	6219924.675311629	0.02%	22.18%	65.16%	4.4s
190	6219048.40343845	0.01%	22.17%	65.16%	4.3s
191	6218184.859709213	0.01%	22.17%	65.18%	4.3s
192	6217220.186665684	0.02%	22.16%	65.16%	4.3s
193	6216265.557042301	0.02%	22.16%	65.17%	4.3s
194	6215347.188076031	0.01%	22.15%	65.15%	4.4s
195	6213968.440572417	0.02%	22.15%	65.16%	4.3s
196	6213110.6256652335	0.01%	22.14%	65.15%	4.3s
197	6211815.574887813	0.02%	22.14%	65.17%	4.4s
198	6210800.9221291235	0.02%	22.13%	65.16%	4.3s
199	6209916.42008421	0.01%	22.13%	65.18%	4.3s
200	6208993.979637186	0.01%	22.13%	65.15%	4.2s
CPU time: 13.29min
